"Application form", "Formularz zgłoszeniowy"
"Name", "Imię"
"Surname", "Nazwisko"
"Email address", "Adres email"
"Message", "Wiadomość"
"Submit", "Wyślij zgłoszenie"
"The form has been sent successfully.", "Formularz został pomyślnie wysłany."
"Please enter a valid email addresses string. Make sure that they are semicolon separated.", "Wprowadź prawidłowy ciąg adresów e-mail. Upewnij się, że są one oddzielone średnikami."
"Career", "Kariera"
"General configuration", "Konfiguracja generalna"
"Module Enable", "Włącz moduł"
"Open positions", "Stanowiska, na które jest otwarta rekrutacja"
"List of open positions. You can insert multiple positions semi-colon(;) separated. Example - 'Warehouse worker;Machine operator;Baker'","Lista otwartych pozycji. Możesz wstawić wiele pozycji oddzielonych średnikami (;). Przykład — 'Pracownik magazynu;Operator maszyny;Piekarz'"
"Emails configuration", "Konfiguracja email"
"Sender email address", "Adres e-mail nadawcy"
"Sender name", "Nazwa nadawcy"
"Recruitment email addresses", "Adresy email działu rekrutacji"
"List of email addresses where application will be sent. You can insert multiple addresses semi-colon(;) separated. Example - 'first@example.com;second@example.com'","Lista adresów e-mail, na które zostanie wysłana aplikacja. Możesz wstawić wiele adresów oddzielonych średnikami (;). Przykład — 'pierwszy@przyklad.com;drugi@przyklad.com'"
"This is a required field.", "To pole jest wymagane."
"Please enter a valid email address (Ex: johndoe@domain.com).","Wprowadź prawidłowy adres email (np. johndoe@domain.com)."
"Position", "Stanowisko"
"New application", "Nowe zgłosznie"
"New application has been sent.", "Zostało wysłane nowe zgłoszenie."
"Name: %name", "Imię: %name"
"Surname: %surname","Nazwisko: %surname"
"Position: %position", "Stanowisko: %position"
"Message: %message", "Wiadomość: %message"
"Something went wrong contact with customer service office.", "Nie udało się wysłać formularza. Skontaktuj się z biurem obsługi klienta."
